date,open,high,low,close,adj_close,volume,returns,year,month,day,dayofweek,quarter,dayofyear,weekofyear,month_sin,month_cos,dayofweek_sin,dayofweek_cos,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,lag_14,lag_20,ma_5,volatility_5,ma_10,volatility_10,ma_20,volatility_20,ma_30,volatility_30
1999-03-05,0.0419269986450672,0.0440099984407424,0.0419269986450672,0.0438800007104873,0.0402352102100849,78768000,5.64337360192364,1999,3,5,4,1,64,9,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0380858816206455,0.0389221496880054,0.0417875871062278,0.041906788945198,0.0453691333532333,0.0398775972425937,0.0398775972425937,0.0367728471755981,0.040235387533903086,4.524420764492382,0.04145317450165743,4.735177798465913,0.03964442219585175,4.487387927345804,0.038858453308542526,5.1685205784836965
1999-03-08,0.0427079983055591,0.0458329990506172,0.0419269986450672,0.0445309989154338,0.0408321321010589,75888000,1.4835808930964145,1999,3,8,0,1,67,10,1.0,6.123233995736766e-17,0.0,1.0,0.0402352102100849,0.0380858816206455,0.0389221496880054,0.0421461090445518,0.0439368896186351,0.0401160046458244,0.0401160046458244,0.0378475040197372,0.0399725921452045,4.607580525578564,0.04152478724718089,4.751919904550722,0.039793653599917836,4.458720178092598,0.038965888073046955,4.83089184522736
1999-03-09,0.0444010011851787,0.0466150008141994,0.0444010011851787,0.0459639988839626,0.0421461090445518,143184000,3.217997385590432,1999,3,9,1,1,68,10,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0408321321010589,0.0402352102100849,0.0380858816206455,0.0417875871062278,0.041906788945198,0.0420259907841682,0.0379666984081268,0.0365344360470771,0.0400442965328693,4.89086680977826,0.04153679907321925,4.613188277634257,0.040074237249791575,4.397791213318227,0.038985785966118125,4.476926420825016
1999-03-10,0.0466150008141994,0.0466150008141994,0.0445309989154338,0.0451820008456707,0.0414290614426136,235344000,-1.7013376043331085,1999,3,10,2,1,69,10,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0421461090445518,0.0408321321010589,0.0402352102100849,0.0389221496880054,0.0421461090445518,0.0453691333532333,0.0385636202991008,0.0351012796163558,0.040545678883790945,3.2968902013690617,0.041142791882157276,3.715015479996637,0.04039062634110446,4.2989621838083485,0.039089246839284844,4.238394221173462
1999-03-11,0.0444010011851787,0.0451820008456707,0.0432289987802505,0.0432289987802505,0.039638265967369,54288000,-4.322558640931707,1999,3,11,3,1,70,10,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0414290614426136,0.0421461090445518,0.0408321321010589,0.0380858816206455,0.0417875871062278,0.0439368896186351,0.0398775972425937,0.0347436815500259,0.04085615575313564,3.9448999841053323,0.04071292951703067,3.8127282755272063,0.04063535556197161,4.4385552452660555,0.03913698842128113,4.322303763511833
1999-03-12,0.0434900000691413,0.0434900000691413,0.0416669994592666,0.0424479991197586,0.0389221496880054,90768000,-1.806628675313715,1999,3,12,4,1,71,10,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.039638265967369,0.0414290614426136,0.0421461090445518,0.0402352102100849,0.0389221496880054,0.041906788945198,0.0401160046458244,0.0377282798290252,0.04059354364871974,2.9766351825989554,0.04041446559131141,3.6109290306957553,0.04069504905492063,4.0656302809950615,0.039164864023526466,4.33714054031144
1999-03-15,0.0434900000691413,0.0447920002043247,0.0432289987802505,0.0442709997296333,0.0405937209725379,108816000,4.294653039288909,1999,3,15,0,1,74,11,1.0,6.123233995736766e-17,0.0,1.0,0.0389221496880054,0.039638265967369,0.0414290614426136,0.0408321321010589,0.0380858816206455,0.0421461090445518,0.0420259907841682,0.0398775972425937,0.04054586142301554,3.661362897925246,0.04025922678411002,3.9316813501827603,0.040730855241417833,3.9776083293103675,0.03930815060933426,4.3000291933437
1999-03-16,0.0445309989154338,0.0450519993901252,0.0424479991197586,0.0428389981389045,0.0392806641757488,79152000,-3.2346302958464856,1999,3,16,1,1,75,11,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0405937209725379,0.0389221496880054,0.039638265967369,0.0421461090445518,0.0402352102100849,0.0417875871062278,0.0453691333532333,0.0401160046458244,0.03997277244925494,3.33848423506977,0.04000853449106212,4.039265694448434,0.04068908821791405,4.047312710834296,0.039383766924341465,4.3418422953309594
1999-03-17,0.0432289987802505,0.0440099984407424,0.0420570001006126,0.0430990010499954,0.0395190604031086,51360000,0.606904777101458,1999,3,17,2,1,76,11,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0392806641757488,0.0405937209725379,0.0389221496880054,0.0414290614426136,0.0408321321010589,0.0389221496880054,0.0439368896186351,0.0379666984081268,0.03959077224135394,3.436614582879577,0.04006822556257244,3.3784526245035558,0.040766706317663146,3.84877178387536,0.0395628441125154,4.068274218771207
1999-03-18,0.0432289987802505,0.0442709997296333,0.042187999933958,0.0436200015246868,0.0399968028068542,46320000,1.208891099313747,1999,3,18,3,1,77,11,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0395190604031086,0.0392806641757488,0.0405937209725379,0.039638265967369,0.0421461090445518,0.0380858816206455,0.041906788945198,0.0385636202991008,0.03966247960925098,2.9056798997873554,0.040259317681193306,3.2842775174659584,0.04083836544305082,3.843158025685597,0.03973397525648271,4.059981376552117
